[null]
[ed, s, en]
729455841,agronomist,agrónomo,NOUN
729495034,portuñol,portuñol,PROPOSITIOIN
729732269,Kashgar,Kashgar ,NONE
730750680,tracksuit,buzo  [Chile,NONE
731237029,kryptonite,kryptonita,NOUN
731684635,priesthood,sacerdocio,NOUN
732462157,dicynodont,dicinodonto,NOUN
732765596,nuclear bomb,bomba nuclear,NOUN
733324002,melodramatic,melodramático,ADJECTIVE
733415444,isoniazid,isoniacida ,NONE
733574552,gallium arsenide,arseniuro de galio,NOUN
734253323,genuflect,doblar la rodilla,VERB
734312440,admiral of the fleet,Capitán General de la Armada,PROPOSITIOIN
734472424,central nervous system,sistema nervioso central,NOUN
734510335,jack-o'-lantern,calabaza,NOUN
735357824,thyristor,tiristor,NOUN
735447837,indispensable,indispensable,ADJECTIVE
735996184,scientist,científico,NOUN
736094272,in a pinch,en un apuro,ADVERB
736255248,bottle shop,vinatería ,NONE
736527479,milk chocolate,chocolate con leche,NOUN
736626366,al-andalus,Al-Ándalus,PROPOSITIOIN
737361009,actinometer,actinómetro,NOUN
737988706,hydrogen bomb,bomba de hidrógeno,NOUN
738101600,benevento,Benevento,PROPOSITIOIN
738116654,cytoplasm,citoplasma,NOUN
738285041,dental caries,caries,NOUN
738647566,chadian,chadiano,ADJECTIVE
738878968,chalaza,chalaza,NOUN
738885947,chalice,cáliz,NOUN
738909086,chamber,compartimento,NOUN
738921704,chamois,gamuza ,NONE
738940228,chancre,chancro,NOUN
738950403,channel,canal,NOUN
738956175,chanter,caramillo,NOUN
738986075,chaotic,caótico,ADJECTIVE
739015757,chapter,sede,NOUN
739020683,omniscient,omniscio,NONE
739057036,charade,,NOUN
739063152,chargon,,NOUN
739065080,chariot,carro ,NONE
739065240,charity,entidad benéfica,NOUN
739067652,charles,Carlos,PROPOSITIOIN
739067762,charlie,Carlito,PROPOSITIOIN
739068612,charmer,encantador ,NONE
739075339,charter,carta fundacional,NOUN
739104294,chassis,chasis,NOUN
739105126,chasten,,VERB
739134921,chatter,charlatanear,NOUN
739279523,chayote,chayote,NOUN
740013905,demilitarized zone,zona desmilitarizada,NOUN
740154499,conversation,conversación,NOUN
740683104,strait of messina,Estrecho de Mesina,PROPOSITIOIN
741962829,simple present,presente,NOUN
741982526,watertightness,estanquidad,NOUN
742212875,arkhangelsk,Arjánguelsk,PROPOSITIOIN
742262976,cheater,,NOUN
742311022,chechen,checheno,PROPOSITIOIN
742362087,razor clam,navaja,NOUN
742381179,cheeser,quesero,NOUN
742382006,cheetah,guepardo ,NONE
742442683,rufous-tailed hawk,aguilucho de cola rojiza ,NONE
742610333,chemist,químico ,NONE
742656738,uneasiness,desazón,NOUN
742759276,cherish,tener mucho cariño a,VERB
742771463,chervil,perifollo ,NONE
742782468,woodchipper,astilladora ,NONE
742886413,deionize,desionizar,VERB
742957188,río san juan,Río San Juan,PROPOSITIOIN
743258875,Alaskan,alaskeño,NONE
743379773,south asia,Asia del Sur,PROPOSITIOIN
743778379,poseidon,Poseidón,PROPOSITIOIN
743822891,south pole,polo Sur,PROPOSITIOIN
744536246,null and void,nulo e inválido,ADJECTIVE
744830062,Issachar,Isacar,NONE
745479447,cheongsam,,NOUN
745953093,chiapas,Chiapas,PROPOSITIOIN
745998442,chicago,Chicago,PROPOSITIOIN
746007989,chicken,gallina,NOUN
746012247,chicory,,NOUN
746062994,chiefly,principalmente,ADVERB
746092867,chiffon,gasa,NOUN
746123313,chigger,nigua,NOUN
746130346,chignon,moño ,NONE
746192306,jump down someone's throat,echársele encima a alguien,NONE
746276606,chin-up,dominada,NOUN
746295733,clearing house,cámara de compensación,NOUN
746300523,chimera,quimera,NOUN
746308793,chimney,chimenea,NOUN
746330349,chinese,chino,ADJECTIVE
746339663,chinois,chino ,NONE
746427053,fraternal,fraternal,ADJECTIVE
746835225,wire cutters,alicates de corte ,NONE
746886423,white-nosed coati,antón ,NONE
747305402,left and right,a diestro y siniestro,ADVERB
747804969,position,posición,NOUN
747805177,positive,positivo,ADJECTIVE
747813618,positron,positrón,NOUN
747860258,he-wolf,lobo,NOUN
747909326,bearded tit,bigotudo,NOUN
748216263,bigmouth,hocicón ,NONE
748357500,fan coil,ventiloconvector,NOUN
749171527,pacifier,chupete ,NONE
749171956,pacifism,pacifismo,NOUN
749171963,pacifist,pacifista,NOUN
749679373,slovenian,,ADJECTIVE
751002350,hyperbola,hipérbola,NOUN
751002354,hyperbole,hipérbole,NOUN
751091261,rite of passage,rito de paso,NOUN
751294566,hyperlink,hipervínculo,NOUN
751360152,hypernova,hipernova,NOUN
751389087,hyperonym,,NOUN
751390501,hyperopia,,NOUN
751470506,indonesian,indonesio,ADJECTIVE
751529369,hypertext,hipertexto,NOUN
751558631,extraction,,NOUN
751747462,trade-off,dilema,NOUN
751778655,frugivorous,frugívoro,ADJECTIVE
751811858,cholera,cólera,NOUN
751815582,choline,colina,NOUN
751838138,naturalism,naturalismo,NOUN
751838347,naturalize,,VERB
751941207,chopper,,NOUN
751965565,zone-tailed hawk,aguilucho negro,NOUN
752004837,chortle,carcajada,NOUN
752329117,tobacconist's,tabaquería,NOUN
752512218,arctic ocean,Océano Ártico,PROPOSITIOIN
752822871,navigator,navegante,NOUN
752901772,caught in the act,con las manos en la masa,VERB
753113296,posology,posología,NOUN
753118482,falchion,bracamante,NOUN
753139958,horn of plenty,,NOUN
753331518,falconer,halconero ,NONE
753331928,falconry,cetrería,NOUN
753585422,what are you doing, ¿qué usted hace?,NONE
753641009,trademark,marca registrada ,NONE
753648534,inscrutable,inescrutable,NONE
754169204,hang gliding,ala delta ,NONE
754462859,introspective,introspectivo,ADJECTIVE
754680166,chronic,crónico,ADJECTIVE
755351944,saint helena,Santa Helena,PROPOSITIOIN
755454539,post box,,NOUN
755897896,bear market,mercado bajista,NOUN
755933523,abandonment,abandono,NOUN
756240582,auxiliary,auxiliar,ADJECTIVE
756439084,ionian islands,Islas Jónicas,PROPOSITIOIN
756643751,moldavian,moldavo,ADJECTIVE
756705649,possible,posible,ADJECTIVE
756705669,possibly,posiblemente,ADVERB
757320969,chukchi,chucoto,PROPOSITIOIN
757386309,pan-slavism,paneslavismo,NOUN
757388157,run amok,correr a ciegas,NONE
757397347,run away,huir,VERB
757420823,chunnel,,PROPOSITIOIN
757449648,postcard,tarjeta postal ,NONE
757462669,postcode,código postal,NOUN
757511206,prime minister,primer ministro ,NONE
757551228,tradition,tradición,NOUN
757603535,trigonometry,trigonometría,NOUN
757630007,postiche,postizo,NOUN
757647088,chuvash,chuvasio,PROPOSITIOIN
757747565,postmark,matasellos,NOUN
757813577,run over,atropellar,VERB
757850262,postpone,aplazar,NONE
757884323,multicellular,multicelular ,NONE
757950274,run time,tiempo de ejecución,NOUN
758078950,chromophore,cromóforo,NOUN
758141714,alchemist,alquimista,NOUN
758263068,compassionate,compasivo,ADJECTIVE
758264126,perpetual,perpetuo,ADJECTIVE
758287218,passionflower,pasionaria,NOUN
758492784,retardment,,NOUN
758708944,apple-green,verde manzana,ADJECTIVE
759028534,urceolate,urceolado,ADJECTIVE
759291177,fall out,desavenirse ,NONE
759312683,extralarge,extralargo,ADJECTIVE
759379947,submersible,sumergible,ADJECTIVE
759894283,fundraiser,recaudación de fondos,NOUN
760177857,periglacial,periglaciar,ADJECTIVE
760938628,unofficial,extraoficial,ADJECTIVE
761009164,pneumatic,neumático ,NONE
761055608,chromosomal,cromosómico,ADJECTIVE
761243362,fallback,plan B,NOUN
761276454,extraneous,extraño,ADJECTIVE
761420470,pneumonia,pulmonía ,NONE
761453133,fallible,falible,ADJECTIVE
761463562,heuristic,heurístico,ADJECTIVE
761918506,rule out,descartar,VERB
761937134,intertidal zone,,NOUN
761962572,dejected,abatido,NONE
762020162,stemmatics,stemmática,NOUN
762481205,little by little,poco a poco,ADVERB
763088547,physiography,fisiografia,NOUN
763129496,rowing boat,,NOUN
763473438,popular music,música popular,NOUN
763789991,cruise ship,crucero,NOUN
764284907,perplexed,perplejo,ADJECTIVE
764333892,vexillology,vexilología,NOUN
764407695,sedimentology,sedimentología,NOUN
764652308,approximate,aproximado,ADJECTIVE
764829155,holy roman empire,Sacro Imperio Romano,PROPOSITIOIN
764925737,inner core,núcleo interno,NOUN
764960507,liveforever,,NOUN
765008428,ash wednesday,Miércoles de Ceniza,NOUN
765437454,inner tube,cámara,NOUN
765621789,exclamation point,,NOUN
765721993,current asset,activo corriente,NOUN
765915793,following,siguiente,ADJECTIVE
766016832,maternal death,muerte obstétrica,NOUN
766873968,ballerina,bailarina,NOUN
767391707,above measure,,PREPOSITION
767422259,participant,participante,NOUN
767422430,participate,participar,VERB
767429536,participial,,NOUN
767744823,carrageenan,carragenina,NONE
767971339,eminently,sumamente,ADVERB
768082337,djellaba,chilaba,NOUN
768544558,gibraltarian,gibraltareño,ADJECTIVE
768603354,commensalism,comensalismo,NOUN
768611295,curvature,curvatura,NOUN
768944099,circle segment,,NOUN
769199037,deciduous tooth,,NOUN
769378141,Mediterraneanize,mediterranizar,NONE
769525409,potbelly,panza,NOUN
769889560,dot product,,NOUN
770185939,chamber pot,bacinilla ,NONE
770608261,ballistic,balístico,ADJECTIVE
770692965,lacrimal gland,glándula lagrimal,NOUN
771829905,recognizable,reconocible,ADJECTIVE
772150592,interjection,interjección,NOUN
772152267,omnitheism,omniteísmo,NOUN
772274137,cotyledon,cotiledón,NOUN
772435448,chamberlain,chambelán,NOUN
772530749,cashpoint,,NOUN
772847449,Romance language,lengua romance ,NONE
773028116,greenhouse effect,efecto invernadero,NOUN
773052246,coexistence,coexistencia,NOUN
773728066,elucidate,dilucidar,NONE
774181197,hassānīya,hasanía,NOUN
774367975,occasion,ocasión,NOUN
774886665,emigration,emigración,NOUN
775001076,metaphorize,metaforizar,VERB
775026426,no wonder,,NOUN
775174116,telegraph,telégrafo,NOUN
775466042,cauterization,cauterización,NOUN
775801327,eudiometer,eudiómetro,NOUN
776313565,potiphar,Potiphar,PROPOSITIOIN
776395105,sparrow hawk,gavilán,NOUN
776647072,bipartite,bipartito,ADJECTIVE
776752787,malpractice,negligencia,NOUN
777032600,witch doctor,hechicero ,NONE
777189862,docosanol,docosanol,NOUN
777203651,double act,dúo cómico,NONE
777204658,double bed,cama de matrimonio,NOUN
777293358,quarantine,cuarentena,NOUN
777577295,ciliate,ciliado,NOUN
777578872,cilicia,Cilicia,PROPOSITIOIN
777940252,leave me alone,déjame en paz,NONE
777949830,transnistria,Transnistria,PROPOSITIOIN
778696135,resurrection,resurrección,NOUN
779498342,traffic cone,cono de tráfico,NOUN
779863344,basking shark,tiburón peregrino,NOUN
779969024,traffic sign,señal de tráfico,NOUN
780783004,recruitment,reclutamiento,NOUN
781051683,obiter dictum,opinión accesoria,NOUN
781644624,running gear,tren de conducción,NOUN
781986479,maternal uncle,tío ,NONE
782032622,running text,texto corrido,NOUN
782265930,bushmaster,cascabel muda ,NONE
782401877,embalmer,embalsamador,NOUN
782407636,twenty-first,vigésimo primero,NOUN
782949795,circles,ojeras,NOUN
782949796,circlet,circulito,NOUN
782997386,telepathy,telepatía,NOUN
783201284,telephone,teléfono,NOUN
783999377,science center,centro de ciencias,NOUN
784265378,metaphysics,metafísica,NOUN
784360146,familiarly,familiarmente,ADVERB
784373434,cistern,,NOUN
784405923,watercolour,acuarela,NOUN
784442870,embetterment,,NOUN
784623363,ahorseback,,ADVERB
784729560,citadel,ciudadela,NOUN
784761422,finishing touch,último toque ,NONE
784989032,citizen,ciudadano,NOUN
785054592,citlali,Citlali,PROPOSITIOIN
785308077,potsherd,tiesto ,NONE
785733035,defibrillator,desfibrilador,NOUN
785822954,telescope,telescopio,NOUN
785848970,embedded,incrustado,ADJECTIVE
785907701,portsmouth,Portsmouth,PROPOSITIOIN
786302085,anal beads,cuentas anales,NOUN
786323177,telestial,telestial,ADJECTIVE
786525732,embezzle,malversar,VERB
786735003,earphones,auriculares ,NONE
786802906,verb phrase,sintagma verbal,NOUN
786822848,civilly,civilmente,ADVERB
787021403,breast pump,sacaleche,NOUN
787023970,eclectic,ecléctico,ADJECTIVE
787093040,molecular,molecular,ADJECTIVE
787207025,civvies,,NOUN
787244855,commensurate,adecuado,ADJECTIVE
787407493,familiar,espíritu familiar ,NONE
788087269,exhaust system,sistema de escape,NOUN
788328196,safe-conduct,salvoconducto,NOUN
788429342,teratogenetic,,ADJECTIVE
788736351,chateaubriand,biftec doble,NOUN
788951421,Valencian,valenciano ,NONE
789422219,talismanic,talismánico,ADJECTIVE
789520014,trade deficit,déficit comercial,NOUN
789635320,embiggen,engrandecer,NONE
789756917,baby boom,explosión de natalidad ,NONE
790197623,cleanser,,NOUN
790307445,clearing,desmonte,NOUN
790362087,pedagogic,pedagógico,ADJECTIVE
790418702,cleavage,escote ,NONE
790454872,progressively,progresivamente,ADVERB
790932410,actions speak louder than words,obras son amores,NONE
791060416,secondary smoking,,NOUN
791105337,ecliptic,eclíptica,NOUN
791161729,bottom quark,quark fondo,NOUN
792090993,muriatic acid,ácido muriático,NOUN
792292757,misunderstand,entender mal,VERB
792420836,bona fide,de buena fe,ADJECTIVE
792536868,understanding,comprensión,NOUN
792624938,bottom sheet,sábana bajera ,NONE
792926707,north pole,polo norte,NOUN
793020557,north star,,NOUN
793108943,nebraska,Nebraska,PROPOSITIOIN
793297055,paternoster,,NOUN
793597589,trousseau,ajuar,NOUN
794510022,Palestinian,palestino,NONE
794794414,tlaquimilolli,tlaquimilolli,NOUN
794968553,thank you,gracias,NONE
795080652,touristic,turístico,ADJECTIVE
795321658,clothes peg,pinza de tender ,NONE
795327756,embolism,embolia,NOUN
795515487,underground,subterráneo ,NONE
795560349,healthy,saludable,NONE
795728692,hearing,audición,NOUN
795737917,hearsay,pruebas de oídas,NOUN
795787041,heathen,,ADJECTIVE
795787045,heather,brezo,NOUN
795788274,heating,calefacción,NOUN
795874040,pythagoras,Pitágoras,PROPOSITIOIN
795964189,nephrolith,,NOUN
795969569,nephrology,nefrología,NOUN
796203691,nebulous,nebuloso,ADJECTIVE
796368116,eclogite,eclogita,NOUN
796470160,scrummaging machine,,NOUN
796551768,ruminant,rumiante,ADJECTIVE
796551939,ruminate,rumiar,VERB
797208855,hen party,despedida de soltera,NOUN
797213571,thankless,despreciado,ADJECTIVE
797355826,thanks to,gracias a,PREPOSITION
797436237,jurisprudence,jurisprudencia,NOUN
797579324,clothesline,cuerda para tender la ropa,NOUN
797627750,hectare,hectárea,NOUN
797813045,coefficient,coeficiente,ADJECTIVE
797826022,clothestree,,NOUN
797998783,intelligence,inteligencia,NOUN
798106694,intelligible,inteligible,ADJECTIVE
798106714,intelligibly,inteligiblemente,ADVERB
798548117,hydrogenation,hidrogenación,NOUN
799214437,physical culture,,NOUN
799324245,davy jones's locker,el fondo del mar,PROPOSITIOIN
799558869,pork rind,chicharrón ,NONE
799651942,tatarstan,Tartaristán,PROPOSITIOIN
799775173,democracy,democracia,NOUN
800125236,sexuality,sexualidad,NOUN
801006896,clemency,compasión,NONE
801048655,politically incorrect,politicamente incorrecto,ADJECTIVE
801680543,novokuznetsk,Novokuznetsk,PROPOSITIOIN
801779388,tenderloin,lomo,NOUN
801829675,tenderness,ternura,NOUN
802082422,traumatology,traumatología,NOUN
802109302,aardvark,cerdo hormiguero,NOUN
802152356,aardwolf,lobo de tierra,NOUN
802186644,great-great-granddaughter,tataranieta,NOUN
802900912,creeping thistle,,NOUN
803003691,heinous,atroz,ADJECTIVE
803547548,paintbrush,pincel,NOUN
803750861,time travel,el viaje a través del tiempo,NOUN
803768280,vulgate,Vulgata,PROPOSITIOIN
803982820,circulate,circular,VERB
804017094,circumfix,circunfijo,NOUN
804174721,vulture,buitre,NOUN
804183445,take to one's heels,apretar los talones,NONE
804186978,sixtieth,sexagésimo,ADJECTIVE
804218083,two-edged sword,,NOUN
804301281,ruthenium,rutenio,NOUN
804475778,admiration,admiración,NOUN
804687369,meal ticket,primo,NOUN
804748435,mutarotation,mutarrotación,NOUN
805613140,helical,helicoidal,ADJECTIVE
805708833,hellish,infernal,ADJECTIVE
805723471,gibberish,algarabía ,NONE
805825180,helpful,servicial,NONE
805940100,Angolan,angoleño ,NONE
806637627,hemlock,,NOUN
807180682,trafalgar,Trafalgar,PROPOSITIOIN
807180713,auto insurance,seguro automotor ,NONE
807222199,tension wrench,,NOUN
807250119,henbane,beleño,NOUN
807543420,unaltered,inalterado,ADJECTIVE
807604257,southerner,sureño ,NONE
807670702,henpeck,jorobar ,NONE
807821918,miniature,miniatura,NOUN
807833453,poultice,cataplasma,NOUN
807866140,selenographic,selenográfico,ADJECTIVE
808134876,stewardship,administración,NOUN
808170958,apicectomy,apicectomía,NOUN
809026248,tsuu t'ina,,PROPOSITIOIN
809083561,heparin,heparina,NOUN
809085472,hepatic,hepático,ADJECTIVE
809633399,heptane,heptano,NOUN
809647008,heptose,heptosa,NOUN
810403876,fanciful,imaginado ,NONE
810710772,murderer,asesino ,NONE
811051678,heretic,,ADJECTIVE
811147776,dimorphism,dimorfismo,NOUN
811170606,veterinarian,veterinario,NOUN
811190706,radarmeteorology,,NOUN
811237191,twin prime,primo gemelo,NOUN
811339174,heroine,heroína,NOUN
811339337,heroism,heroísmo,NOUN
811428549,herring,arenque,NOUN
811683196,admiringly,con admiración,ADVERB
811777979,Finnish,finlandés,NONE
811908577,south african,sudafricano,ADJECTIVE
812029349,differentiation,diferenciación,NOUN
812757528,librarian,bibliotecario,NOUN
812800269,olympiad,olimpíada,NOUN
812800279,olympian,olímpico,NOUN
812800346,olympics,Olímpico,PROPOSITIOIN
812880912,sea bass,lubina,NOUN
813186381,sea lion,león marino,NOUN
813207321,presumptively,,ADVERB
813628407,inseminate,,VERB
813696169,crystal ball,bola de cristal,NOUN
814194774,nikolayev,,PROPOSITIOIN
814390310,waste breath,gastar saliva,VERB
814957506,hirsutism,hirsutismo,NOUN
815583606,necklace,collar,NOUN
815619362,eurasian black vulture,buitre negro,NOUN
816102481,egyptian arabic,árabe egipcio,PROPOSITIOIN
816104755,delaware,Delaware,PROPOSITIOIN
816461344,hexagon,hexágono,NOUN
816469983,hexapod,hexápodo,NOUN
816570457,lapsus linguae,lapsus línguae,NOUN
816783568,prominence,prominencia,NOUN
816908238,phytochemical,fitoquímico,NOUN
817124192,unrestrained,libre ,NONE
817197450,slipper animalcule,,NOUN
817601124,chest press,prensa de pecho,NOUN
817933528,grains of paradise,granos de paraiso ,NONE
817970025,two-stroke engine,motor de dos tiempos ,NONE
818486763,language exchange,intercambio de idiomas,NOUN
818535281,essential amino acid,aminoácido esencial,NOUN
818899880,murmansk,Múrmansk,PROPOSITIOIN
819310992,hexahedron,hexaedro,NOUN
819322245,delegate,delegado ,NONE
819717070,deletion,supresión,NONE
819741143,dietitian,dietista,NOUN
820052070,graduate student,,NOUN
820081177,recipient,receptor ,NONE
820528221,consanguinity,consanguinidad,NOUN
820552275,fool's mate,mate del loco,NOUN
821266368,global warming,calentamiento global,NOUN
821501085,fraudulently,fraudulentamente,ADVERB
821821605,jailbreak,fuga  de cárcel,NOUN
821830195,zachariah,,PROPOSITIOIN
821830206,zacharias,,PROPOSITIOIN
821830575,copacetic,requetebueno,NONE
821877033,corrigendum,errata,NONE
821976507,gonorrhea,gonorrea,NOUN
821976751,auctioneer,pregonero ,NONE
822117105,cerebral cortex,corteza cerebral ,NONE
822150674,in one's book,,ADVERB
822155124,necrosis,necrosis,NOUN
822422167,parthenogenesis,,NOUN
822564279,shock wave,onda de choque,NOUN
822896658,delicacy,fineza ,NONE
822897165,delicate,delicado,ADJECTIVE
823344770,malleableness,maleabilidad,NOUN
823351757,delirium,delirio,NOUN
823456951,trinitarian,trinitario,ADJECTIVE
823466996,delivery,parto ,NONE
823783179,please repeat after me,por favor,NONE
824085179,mad cow,vaca loca,NOUN
824165660,miniskirt,minifalda,NOUN
824586761,straitjacket,camisa de fuerza,NOUN
824998326,imperfectly,imperfectamente,ADVERB
825097187,macabre,macabro ,NONE
825139384,macbook,MacBook,NOUN
825308669,machete,machete,NOUN
825312327,machine,máquina,NOUN
825374677,palpitation,palpitación,NOUN
825719917,melodious,melodioso,ADJECTIVE
825969618,stepgrandson,nietastro,NOUN
825974316,melodrama,melodrama,NOUN
826147581,substitution,,NOUN
826410919,madness,locura,NOUN
826471763,iconostasis,iconostasio,NOUN
826526221,madrasa,,NOUN
826599963,sultanate,sultanía,NOUN
826607732,angle grinder,amoladora angular,NOUN
826924929,cherimoya,chirimoya,NOUN
827265015,midsummer,día de San Juan,NOUN
827497775,maestro,experto ,NONE
828118612,mafioso,mafioso,NOUN
828537311,cherkessk,Cherkessk,PROPOSITIOIN
828792675,magadan,Magadán,PROPOSITIOIN
828840186,ticket stamping machine,validadora,NOUN
828922025,magenta,magenta,NOUN
828982592,maggoty,agusanado,ADJECTIVE
829014778,maghreb,Mágreb,PROPOSITIOIN
829194512,tax evasion,evasión de impuestos,NOUN
829251210,confidence,certidumbre,NOUN
829894959,evaporate,evaporar,VERB
829995282,mahjong,mahjong,NOUN
830146724,mahoran,mahorés,ADJECTIVE
830190394,ottoman empire,Imperio Otomano,PROPOSITIOIN
830493945,polysynthetic,polisintético,ADJECTIVE
830693761,aragonese,aragonés,ADJECTIVE
830697636,aragonite,aragonito,NOUN
830965940,mailbox,buzón,NOUN
830976067,mailman,cartero,NOUN
831067483,yanukovych,Yanukóvich,PROPOSITIOIN
831415393,chernigov,,PROPOSITIOIN
831473395,e-mail address,dirección de correo electrónico,NOUN
831476888,oceanian,oceánico,ADJECTIVE
831537021,take the bull by the horns,coger el toro por los cuernos,VERB
831571774,integral calculus,cálculo integral,NOUN
831589634,chernobyl,Chernóbyl,NOUN
831612079,chernozem,chernozem,NOUN
831697417,majesty,majestad,NOUN
831799079,majiang,,NOUN
831976582,penalty shootout,tanda de penaltis,NOUN
831993815,majorca,Mallorca,PROPOSITIOIN
832263645,pan flute,,NOUN
832339323,pyramidal,piramidal,ADJECTIVE
832339562,pyramidic,piramidal,ADJECTIVE
832540669,make do,conformarse,VERB
832541197,make up,maquillarse,VERB
833415634,malaise,malestar,NOUN
833423969,malaria,paludismo,NOUN
833436261,phylactery,amuleto,NOUN
833735615,mallard,pato real ,NONE
833739567,malleus,malleus,NONE
833919758,halberdier,alabardero,NOUN
833977819,maltese,maltés,ADJECTIVE
833987429,maltose,maltosa,NOUN
834063317,malware,espanol,NOUN
834429905,particle accelerator,acelerador de partículas,NOUN
834463615,delusion,delirio,NOUN
834544029,rehearsal,ensayo,NOUN
834688948,mammary,,NOUN
834702447,mammoth,mamut,NOUN
834885704,melongene,,NOUN
835256693,manacle,esposas,NOUN
835260333,manager,representante,NOUN
835260812,managua,Managua,PROPOSITIOIN
835268167,impecunious,menesteroso,ADJECTIVE
835272813,manatee,manatí,NOUN
835344392,mandate,mandato,NOUN
835476854,manhood,virilidad,NOUN
835560430,mankind,humanidad,NOUN
835612015,manmade,artificial,NONE
835646098,manners,modales,NOUN
835655725,mannose,manosa,NOUN
835780761,salineness,,NOUN
835791194,mansard,,NOUN
835798799,mansion,mansión,NOUN
835801874,manslut,puto ,NONE
835862045,manumit,manumisión ,NONE
836268333,omnivorous,omnívoro,ADJECTIVE
836719268,large intestine,intestino grueso,NOUN
836953231,double-barrelled shotgun,escopeta de dos cañones,NOUN
837699431,mapuche,mapuche,NOUN
837788213,portuguese,portugués,ADJECTIVE
838295896,akinetic,,ADJECTIVE
838435259,Neapolitan,napolitano,NONE
838678231,orography,orografía,NOUN
838887168,muscular,musculoso,ADJECTIVE
838949925,marabou,marabú,NOUN
838966994,marathi,marathi,PROPOSITIOIN
838993974,hermeneutics,hermenéutica,NOUN
839198401,marimba,marimba,NOUN
839199472,mariner,,NOUN
839222959,subproduct,,NOUN
839362999,persuasion,persuasión,NOUN
839363207,persuasive,persuasivo,NONE
839444652,marquis,,NOUN
839462772,married,casado,ADJECTIVE
839491486,marshal,mariscal,NOUN
839522238,martial,marcial,ADJECTIVE
839522240,martian,marciano,ADJECTIVE
839522630,martina,Martina,PROPOSITIOIN
839529476,vacillation,vacilación,NOUN
839641961,marxism,marxismo,NOUN
839674195,architecture,arquitectura,NOUN
839932140,mascara,rímel,NOUN
840036727,hornblende,hornablenda,NOUN
840139035,san melchor betaza,San Melchor Betaza,PROPOSITIOIN
840302149,masonry,albañilería,NOUN
840408459,massage,masaje,NOUN
840412750,masseur,masajista,NOUN
840416612,massive,masivo,ADJECTIVE
840421069,bolivarian republic of venezuela,República Bolivariana de Venezuela,PROPOSITIOIN
840442455,mastery,maestría,NOUN
840442908,brachioproctic,braquioproctal,ADJECTIVE
840445908,mastiff,mastín ,NONE
840798886,matador,matador,NOUN
841044544,matilda,Matilde,PROPOSITIOIN
841046501,matinee,matiné,NOUN
841050593,matinée,matiné,NOUN
841098134,make amends,reconciliar,NONE
841137257,e-scrap,,NOUN
841224387,ray of light,rayo de luz,NOUN
841368454,matthew,Mateo,PROPOSITIOIN
841375107,mattock,zapapico,NOUN
841404226,pan pipes,,NOUN
841819278,maudlin,llorón,NONE
842109380,maunder,divagar,NONE
842233274,maurice,Mauricio,PROPOSITIOIN
842359696,libation,libación,NOUN
842416804,incredulity,incredulidad,NOUN
842422595,incredulous,incrédulo,ADJECTIVE
842868961,russian roulette,ruleta rusa,PROPOSITIOIN
842924900,harvest mite,ácaros de la cosecha ,NONE
843032477,confiscate,decomisar,VERB
843175194,nobel prize,Premio Nobel,NOUN
843418712,mushroom,,NOUN
843478329,may bug,,NOUN
843615399,power cut,corte de electricidad,NOUN
843630279,power set,conjunto de partes,NOUN
843645714,persecute,perseguir,VERB
843889169,musician,músico,NOUN
843958368,unambiguously,inequívocamente,ADVERB
844196305,persevere,perseverar,VERB
844311679,spirituality,espiritualidad,NOUN
844684204,infanteer,,NOUN
844740128,maximum,máximo,ADJECTIVE
845213070,cardinality,cardinalidad,NOUN
845752923,buckingham palace,Palacio de Buckingham,PROPOSITIOIN
845849083,mayotte,Mayotte,PROPOSITIOIN
845986656,liberate,liberar,VERB
845987250,maytime,,NOUN
845993764,liberian,liberiano,ADJECTIVE
846824633,engraving,grabado,NOUN
847441423,case dependent,,ADJECTIVE
847469200,real world,mundo real,NOUN
847629874,persimmon,caqui,NOUN
847735174,proctology,proctología,NOUN
847762046,fairy floss,algodón de azúcar,NOUN
847785001,demeanor,comportamiento ,NONE
847828945,snuffbox,tabaquera,NOUN
848177847,dementia,demencia,NOUN
848184146,department,sección,NOUN
848297206,humanitarianism,humanitarismo,NOUN
848575181,greater celandine,celidonia mayor,NOUN
849340446,lightning bug,,NOUN
849355633,lightning rod,pararrayos,NOUN
849393777,admissible,admisible,NONE
849992285,parabenzoquinone,parabenzoquinona,NOUN
850121113,acetylglucosamine,acetilglucosamina,NOUN
850391239,rapacious,rapaz,ADJECTIVE
850971806,miserable,miserable,ADJECTIVE
851504995,mortadella,mortadela,NOUN
851994001,abortifacient,abortivo,ADJECTIVE
852078488,demiurge,demiurgo,NOUN
852704107,hegemonic,hegemónico,ADJECTIVE
852717750,cattle egret,garcilla bueyera,NOUN
852895799,trichotillomania,tricotilomanía,NOUN
853131382,falklands war,Guerra de las Malvinas,PROPOSITIOIN
853168618,pennsylvania,Pensilvania,PROPOSITIOIN
853170020,cladode,cladodio,NOUN
853189002,personage,personaje,NOUN
853196679,personify,personificar,VERB
853201440,personnel,personal,NOUN
853425690,clamber,trepar,VERB
853528517,clapper,badajo,NOUN
853554619,barbariousness,,NOUN
853581410,clarify,clarificar,NONE
853581844,clarity,claridad,NOUN
853620882,classic,clásico,ADJECTIVE
853621843,clastic,clástico,ADJECTIVE
853666047,claudia,Claudia,PROPOSITIOIN
853982760,mustache,,NOUN
854572083,each and every,todos y cada uno de ,NONE
854747220,like a bull in a china shop,como un elefante en cristalería,NONE
